n,strategy,MC2_Dice,MC2_CI_low,MC2_CI_high,MC3_Dice,MC3_CI_low,MC3_CI_high,MC4_Dice,MC4_CI_low,MC4_CI_high
1,Scratch,0.42,0.39,0.45,0.44,0.42,0.45,0.35,0.33,0.38
2,Scratch,0.47,0.44,0.50,0.49,0.47,0.50,0.40,0.38,0.43
5,Scratch,0.47,0.42,0.51,0.50,0.47,0.53,0.47,0.44,0.50
10,Scratch,0.61,0.58,0.65,0.67,0.65,0.69,0.59,0.56,0.62
20,Scratch,0.55,0.52,0.58,0.68,0.65,0.71,0.64,0.61,0.67
40,Scratch,0.66,0.62,0.69,0.72,0.71,0.74,0.65,0.63,0.68
80,Scratch,0.71,0.68,0.75,0.71,0.70,0.72,0.63,0.60,0.65
127,Scratch,0.76,0.72,0.79,0.80,0.78,0.81,0.72,0.70,0.75
1,Transfer,0.67,0.64,0.70,0.69,0.68,0.71,0.61,0.59,0.63
2,Transfer,0.72,0.69,0.75,0.74,0.73,0.76,0.66,0.64,0.68
5,Transfer,0.66,0.60,0.72,0.67,0.65,0.69,0.58,0.56,0.60
10,Transfer,0.76,0.73,0.79,0.83,0.81,0.85,0.77,0.75,0.80
20,Transfer,0.77,0.74,0.80,0.88,0.86,0.91,0.82,0.80,0.85
40,Transfer,0.81,0.78,0.85,0.90,0.89,0.92,0.84,0.82,0.87
80,Transfer,0.85,0.83,0.88,0.88,0.87,0.90,0.80,0.78,0.82
127,Transfer,0.86,0.84,0.89,0.90,0.89,0.92,0.83,0.81,0.86
